bvid, description, title
BV1xf4y1v71j, - 店址：山东省-青岛市-市南区-江西路157-4,T9 Beer Supermarket, 下班两个人来酒吧畅饮，六瓶下去还不过瘾，点个可乐桶终于醉了
BV13r4y1c7bp, - 店址：山东省-青岛市-市北区-九江路29号，开心啤酒屋, 单身啤酒区UP主脱单了，视频怎么办？随便喝点聊一聊
BV14p4y1r7cy, -, 自酿啤酒加蒜蓉粉丝生蚝，俩酒仙把菜吃没了用减脂餐下酒，无敌了
BV1CA411x7aQ, -, 搬家后朋友第一次来喝酒，程昊亲自下厨，朋友做客还自带四个菜
BV1bD4y1X7CW, - 店址：山东省-青岛市-李沧区-兴华路51-10号，聚点啤酒吧, 带女友来李沧区试喝青岛散啤，店里有两种一厂鲜啤，一站式的满足
BV17D4y1R7hG, - 店址：山东省青岛市市北区开平路39号张记烧烤, 把女友介绍给好朋友认识，三个人喝得很开心，程昊这下放心了
BV1Fr4y1c7ir, -, 搬来青岛第一天，小两口想喝点，外卖散装啤酒加简单小菜搞起来
BV1tK411V7an, - 店址：山东省-青岛市-市北区-桓台路96号103户，德福瑞啤酒屋, 来小区深处啤酒屋喝酒，跟粉丝老哥喝了起来，脸喝得跟猴腚一样
BV1Xp4y1k7B6, - 店址：山东省-青岛市-市北区-营口路49号，董家烧烤, 回青岛第一天，带着重庆啤酒和自酿给朋友尝尝，偶遇元老级粉丝
BV1RT4y1F7qn, -, 回青岛第一天，把发酵21天的啤酒装瓶，超时11天没变质很意外
BV1Ut4y1e7LV, -, 做两个菜跟重庆女朋友共饮，白酒啤酒掺着来，为了晚上睡沙发拼了
BV1dy4y1z7Bd, - 店址：重庆市-大渡口区-八桥镇双林路6号双城路195号附10号，霹雳哥市井火锅, 怕辣的山东小伙挑战重庆红油火锅，没有想象中辣，只上脸不辣嘴
BV1Z54y1r7DJ, -, 品评4款俄罗斯啤酒，10元一大瓶，酒精度最高的8%，相当醉人
BV13p4y1k7vM, -, 捡了个能喝的重庆女朋友，把她介绍给大家，希望大家喜欢她
BV1GD4y197Ji, -, 自己酿的白啤和黑啤，加上自己烤的五花肉，酒仙的小生活如此滋润
BV14a411A7mP, - 店址：山东省-青岛市-市北区-九江路29号, 下班找朋友喝酒，中途女性朋友来视频，一心二用朋友终于急眼了
BV1qz4y1o7xv, - 店址：山东省-青岛市-市北区-营口路49号，董家烧烤, 跟朋友烧烤店约酒，当面花式进补，朋友和老板都惊呆了
BV1pr4y1w75P, - 店址：青岛市市北区开平路39号，张记烧烤, 回青岛第一天，酿完酒来楼下喝点，五行缺散啤必须补
BV1Ta411A7WG, -, 坐飞机也得喝两罐，飞机餐下酒，海陆空三喝的目标达成
BV1cy4y1r7Do, - 店址：黑龙江省-牡丹江市-穆棱市-G301(绥满线)，金霸王烧烤, 东北烧烤，加牡丹江花河啤酒，来黑龙江必须得整这么一顿
BV1af4y1B7Eo, -, 回黑龙江了，逛超市找啤酒，结果只有四种没见过的，买了一起试喝
BV1Z54y1k7AM, - 店址：山东省-青岛市-市南区-贵州路2号，新雅老头烧烤, 朋友来青岛玩，买点海鲜带她来啤酒屋，两扎下肚开始品尝我的自酿
BV1sV41127rj, -, 朋友腿伤未愈，以茶代酒小聚一下，今天的话题是找对象
BV17t4y1v7UY, - 店址：青岛市-市北区-四流南路和大沙路路口, 夜晚馄饨摊，俩小伙约个小酒，扎啤烧烤边喝边聊
BV1x5411j7cG, - 店址：山东省-青岛市-市南区-天津路37号，老街里海鲜烧烤, 带实习归来的妹妹逛栈桥，吃烧烤喝啤酒，意外发现妹妹还挺能喝
BV1Np4y1Y7yJ, -, 被爷爷一句话吓回老家，十一路上堵了五个小时，家人欢聚一堂值了
BV1Pk4y1C7rk, -, 蒜蓉粉丝扇贝和烤羊肉，啤酒都自己酿了，不亲自下厨怎么能行
BV1Kp4y1Y7DY, - 店址：青岛市-市北区-开平路39号，张记烧烤, 啤酒小烧烤，深夜赴约，酒后开始教朋友如何修理女同事
BV1jZ4y157D8, - 店址：山东省-青岛市-市北区-兴元路35号，老牛烧烤, 油泼豆腐皮和烧烤，天气微凉也不耽误，继续户外喝起来
BV1oK4y1a7Zy, -, 自酿啤酒全过程记录，这次酿的是白啤，酒仙程昊爱喝又会酿
BV1Qv411C7H5, - 店址：山东省-青岛市-市北区-辽宁路街道章丘路29号，雷雷啤酒屋, 休息日来啤酒屋喝一顿，详细介绍下青岛散装啤酒，这回够详细了吧
BV1Wa4y1j73C, - 店址：山东省-青岛市-市北区-营口路49号，董家烧烤, 喊朋友来品尝自己酿的啤酒，简单吃个夜宵，结果跑来烧烤店一顿撸
BV1FV411U7He, - 店址：山东省-青岛市-市北区-人民一路52号，金锣专供四哥烧烤, 下班来啤酒屋喝点，拿着相机被老板误会，换家店继续喝
BV1R54y1C7tw, - 店址：青岛市-市北区-四流南路和大沙路路口, 下班来路边喝点，青岛散啤加烧烤馄饨，天气转凉，喝一顿少一顿了
BV1xv411C753, - 店址：青岛市，市北区宜阳路，张哥啤酒屋, 下班来啤酒屋喝个小酒，中途朋友来了，加个菜继续喝
BV1Ck4y1y7h2, - 店址：青岛市-市北区-开平路39号，张记烧烤, 雨夜来小店吃点烧烤，再来两扎青岛散装啤酒，结束漫长的一天
BV1Za4y1L74A, -, 试喝自己酿的三款啤酒，用泡菜坛发酵，竟然也能做出不错的啤酒
BV1xK411K7g4, - 店址：青岛市-市北区-四流南路171号2号楼拐角，鑫广厦啤酒屋              青岛市-市北区-四流南路169号-7户，五厂炸串, 试喝自己酿的黑啤，食欲不好无菜干喝，微醉跑去炸串店继续
BV1sK4y1a7ky, -, 俩小伙周末约酒，啤酒屋喝完了又去烧烤店，一晚两场逍遥自在
BV1ff4y1Q7YM, - 店址：山东省-青岛市-市北区-商丘路28号海琴广场1层, 去肯德基也能喝起来？44元六块吮指原味鸡，昊酒仙就着啤酒一顿造
BV1jk4y1y7wh, - 地址：山东省-青岛市-市北区-四流南路107号，不二家汉堡披萨, 晚上路边喝点，青岛散装啤酒配烧烤，微醉回家美汁儿汁儿
BV1cK4y1a7BA, - 操。, 雨天只能在家喝酒，冰箱里有什么喝什么
BV11f4y1Q7f1, - 地址：青岛市第一海水浴场, 两人海边划船喝啤酒，花390元买的橡皮艇，放了一年终于用上了
BV1MZ4y1T71n, - 店址：青岛市-市南区-贵州路2号, 和远方的朋友约酒，碰巧赶上七夕，喝到一半下起雨来，意外的浪漫
BV17T4y1L7zn, - 店址：青岛市-市北区-营口路49号，董家烧烤, 青岛营口路三人烧烤酒局，提起往事程昊不胜酒力，酒不醉人人自醉
